No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
32,30 July 1966,Final,England,West Germany,4-2 a.e.t. (2-2),(2-2),"Wembley Stadium, London",,
1,31 May 1970,Group 1,Mexico,Soviet Union,0-0,,"Estadio Azteca, Mexico City",,
5,3 June 1970,Group 1,Belgium,El Salvador,3-0,,"Estadio Azteca, Mexico City",,
9,6 June 1970,Group 1,Soviet Union,Belgium,4-1,,"Estadio Azteca, Mexico City",,
13,7 June 1970,Group 1,Mexico,El Salvador,4-0,,"Estadio Azteca, Mexico City",,
17,10 June 1970,Group 1,Soviet Union,El Salvador,2-0,,"Estadio Azteca, Mexico City",,
21,11 June 1970,Group 1,Mexico,Belgium,1-0,,"Estadio Azteca, Mexico City",,
2,2 June 1970,Group 2,Uruguay,Israel,2-0,,"Estadio Cuauhtémoc, Puebla",,
6,3 June 1970,Group 2,Italy,Sweden,1-0,,"Estadio Luis Dosal, Toluca",,
10,6 June 1970,Group 2,Uruguay,Italy,0-0,,"Estadio Cuauhtémoc, Puebla",,
14,7 June 1970,Group 2,Sweden,Israel,1-1,,"Estadio Luis Dosal, Toluca",,
18,10 June 1970,Group 2,Uruguay,Sweden,0-1,,"Estadio Cuauhtémoc, Puebla",,
22,11 June 1970,Group 2,Israel,Italy,0-0,,"Estadio Luis Dosal, Toluca",,
3,2 June 1970,Group 3,Romania,England,0-1,,"Estadio Jalisco, Guadalajara",,
7,3 June 1970,Group 3,Czechoslovakia,Brazil,1-4,,"Estadio Jalisco, Guadalajara",,
11,6 June 1970,Group 3,Romania,Czechoslovakia,2-1,,"Estadio Jalisco, Guadalajara",,
15,7 June 1970,Group 3,England,Brazil,0-1,,"Estadio Jalisco, Guadalajara",,
19,10 June 1970,Group 3,Romania,Brazil,2-3,,"Estadio Jalisco, Guadalajara",,
23,11 June 1970,Group 3,England,Czechoslovakia,1-0,,"Estadio Jalisco, Guadalajara",,
4,2 June 1970,Group 4,Peru,Bulgaria,3-2,,"Estadio Nou Camp, León",,
8,3 June 1970,Group 4,Morocco,West Germany,1-2,,"Estadio Nou Camp, León",,
12,6 June 1970,Group 4,Peru,Morocco,3-0,,"Estadio Nou Camp, León",,
16,7 June 1970,Group 4,Bulgaria,West Germany,2-5,,"Estadio Nou Camp, León",,
20,10 June 1970,Group 4,Peru,West Germany,1-3,,"Estadio Nou Camp, León",,
24,11 June 1970,Group 4,Bulgaria,Morocco,1-1,,"Estadio Nou Camp, León",,
25,14 June 1970,Quarter finals,Soviet Union,Uruguay,0-1 a.e.t. (0-0),(0-0),"Estadio Azteca, Mexico City",,
26,14 June 1970,Quarter finals,Italy,Mexico,4-1,,"Estadio Luis Dosal, Toluca",,
27,14 June 1970,Quarter finals,Brazil,Peru,4-2,,"Estadio Jalisco, Guadalajara",,
28,14 June 1970,Quarter finals,West Germany,England,3-2 a.e.t. (2-2),(2-2),"Estadio Nou Camp, León",,
29,17 June 1970,Semi finals,Uruguay,Brazil,1-3,,"Estadio Jalisco, Guadalajara",,
30,17 June 1970,Semi finals,Italy,West Germany,4-3 a.e.t. (1-1),(1-1),"Estadio Azteca, Mexico City",,
31,20 June 1970,Semi finals,Uruguay,West Germany,0-1,,"Estadio Azteca, Mexico City",,
32,21 June 1970,Final,Brazil,Italy,4-1,,"Estadio Azteca, Mexico City",,
1,14 June 1974,Group 1,West Germany,Chile,1-0,,"Olympiastadion, West Berlin",,
2,14 June 1974,Group 1,East Germany,Australia,2-0,,"Volksparkstadion, Hamburg",,
9,18 June 1974,Group 1,Chile,East Germany,1-1,,"Olympiastadion, West Berlin",,
10,18 June 1974,Group 1,Australia,West Germany,0-3,,"Volksparkstadion, Hamburg",,
17,22 June 1974,Group 1,Australia,Chile,0-0,,"Olympiastadion, West Berlin",,
18,22 June 1974,Group 1,East Germany,West Germany,1-0,,"Volksparkstadion, Hamburg",,
3,13 June 1974,Group 2,Brazil,Yugoslavia,0-0,,"Waldstadion, Frankfurt",,
4,14 June 1974,Group 2,Zaire,Scotland,0-2,,"Westfalenstadion, Dortmund",,
11,18 June 1974,Group 2,Yugoslavia,Zaire,9-0,,"Parkstadion, Gelsenkirchen",,
12,18 June 1974,Group 2,Scotland,Brazil,0-0,,"Waldstadion, Frankfurt",,
19,22 June 1974,Group 2,Scotland,Yugoslavia,1-1,,"Waldstadion, Frankfurt",,
20,22 June 1974,Group 2,Zaire,Brazil,0-3,,"Parkstadion, Gelsenkirchen",,
5,15 June 1974,Group 3,Uruguay,Netherlands,0-2,,"Niedersachsenstadion, Hanover",,
6,15 June 1974,Group 3,Sweden,Bulgaria,0-0,,"Rheinstadion, Düsseldorf",,
13,19 June 1974,Group 3,Netherlands,Sweden,0-0,,"Westfalenstadion, Dortmund",,
14,19 June 1974,Group 3,Uruguay,Bulgaria,1-1,,"Niedersachsenstadion, Hanover",,
21,23 June 1974,Group 3,Netherlands,Bulgaria,4-1,,"Westfalenstadion, Dortmund",,
22,23 June 1974,Group 3,Sweden,Uruguay,3-0,,"Rheinstadion, Düsseldorf",,
7,15 June 1974,Group 4,Italy,Haiti,3-1,,"Olympiastadion, Munich",,
8,15 June 1974,Group 4,Poland,Argentina,3-2,,"Neckarstadion, Stuttgart",,
15,19 June 1974,Group 4,Haiti,Poland,0-7,,"Olympiastadion, Munich",,
16,19 June 1974,Group 4,Argentina,Italy,1-1,,"Neckarstadion, Stuttgart",,
23,23 June 1974,Group 4,Argentina,Haiti,4-1,,"Olympiastadion, Munich",,
24,23 June 1974,Group 4,Poland,Italy,2-1,,"Neckarstadion, Stuttgart",,
25,26 June 1974,Group A,Brazil,East Germany,1-0,,"Niedersachsenstadion, Hanover",,
26,26 June 1974,Group A,Netherlands,Argentina,4-0,,"Parkstadion, Gelsenkirchen",,
