No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
8,Tue Nov/22 2022 13:00,Group C,Argentina,Saudi Arabia,1-2 (1-0),(1-0),"Lusail Iconic Stadium, Lusail",Lionel Messi 10'(pen.),Saleh Al Shehri 48'  Salem Al Dawsari 53'
7,Tue Nov/22 2022 19:00,Group C,Mexico,Poland,0-0,,"Stadium 974, Doha",,
22,Sat Nov/26 2022 16:00,Group C,Poland,Saudi Arabia,2-0 (1-0),(1-0),"Education City Stadium, Al Rayyan",Piotr Zielinski 39' Robert Lewandowski 82',
24,Sat Nov/26 2022 22:00,Group C,Argentina,Mexico,2-0 (0-0),(0-0),"Lusail Iconic Stadium, Lusail",Lionel Messi 64' Enzo Fernández 87',
39,Wed Nov/30 2022 22:00,Group C,Poland,Argentina,0-2 (0-0),(0-0),"Stadium 974, Doha",-,Mac Allister 46'  Julián Álvarez 67'
40,Wed Nov/30 2022 22:00,Group C,Saudi Arabia,Mexico,1-2 (0-0),(0-0),"Lusail Iconic Stadium, Lusail",Salem Al Dawasari 90+5',Henry Martín 47'  Luis Chávez 52'
6,Tue Nov/22 2022 16:00,Group D,Denmark,Tunisia,0-0,,"Education City Stadium, Al Rayyan",,
5,Tue Nov/22 2022 22:00,Group D,France,Australia,4-1 (2-1),(2-1),"Al Janoub Stadium, Al Wakrah","Adrien Rabiot 27' Olivier Giroud 32', 71' Kylian Mbappé 68'",Craig Goodwin 9'
21,Sat Nov/26 2022 13:00,Group D,Tunisia,Australia,0-1 (0-1),(0-1),"Al Janoub Stadium, Al Wakrah",-,Mitchell Duke 23'
23,Sat Nov/26 2022 19:00,Group D,France,Denmark,2-1 (0-0),(0-0),"Stadium 974, Doha",Kylian Mbappé 61' 86',Andreas Christensen 68'
37,Wed Nov/30 2022 18:00,Group D,Australia,Denmark,1-0 (0-0),(0-0),"Al Janoub Stadium, Al Wakrah",Mathew Leckie 60',
38,Wed Nov/30 2022 18:00,Group D,Tunisia,France,1-0 (0-0),(0-0),"Education City Stadium, Al Rayyan",Wahbi Khazri 58',
11,Wed Nov/23 2022 16:00,Group E,Germany,Japan,1-2 (1-0),(1-0),"Khalifa International Stadium, Al Rayyan",Ilkay Gündogan 33'(pen.),Ritsu Doan 75' Takuma Asano 83'
10,Wed Nov/23 2022 19:00,Group E,Spain,Costa Rica,7-0 (3-0),(3-0),"Al Thumama Stadium, Doha","Dani Olmo 11' Marco Asensio 21' Ferran Torres 31'(pen.), 54' Gavi 74' Carlos Soler 90' Álvaro Morata 90+2'",
25,Sun Nov/27 2022 13:00,Group E,Japan,Costa Rica,0-1 (0-0),(0-0),"Ahmad bin Ali Stadium, Al Rayyan",-,Keysher Fuller 81'
28,Sun Nov/27 2022 22:00,Group E,Spain,Germany,1-1 (0-0),(0-0),"Al Bayt Stadium, Al Khor",Álvaro Morata 62',Niclas Füllkrug 83'
43,Thu Dec/1 2022 22:00,Group E,Japan,Spain,2-1 (0-0),(0-0),"Khalifa International Stadium, Al Rayyan",Ritsu Dōan 48'  Ao Tanaka 51',Álvaro Morata 11'
44,Thu Dec/1 2022 22:00,Group E,Costa Rica,Germany,2-4 (0-1),(0-1),"Al Bayt Stadium, Al Khor",Yeltsin Tejeda 58'  Juan Vargas 70',"Serge Gnabry 10'  Kai Lukas Havertz 73', 85'  Niclas Füllkrug 89'"
12,Wed Nov/23 2022 13:00,Group F,Morocco,Croatia,0-0,,"Al Bayt Stadium, Al Khor",,
9,Wed Nov/23 2022 22:00,Group F,Belgium,Canada,1-0 (1-0),(1-0),"Ahmad bin Ali Stadium, Al Rayyan",Michy Batshuayi 44',
26,Sun Nov/27 2022 16:00,Group F,Belgium,Morocco,0-2 (0-0),(0-0),"Al Thumama Stadium, Doha",-,Romain Saïss 73' Zakaria Aboukhlal 90+2'
27,Sun Nov/27 2022 19:00,Group F,Croatia,Canada,4-1 (2-1),(2-1),"Khalifa International Stadium, Al Rayyan",Andrej Kramarić 36'  Marko Livaja 44'  Andrej Kramarić 70'  Lovro Majer  90+4',Alphonso Davies 2'
41,Thu Dec/1 2022 18:00,Group F,Croatia,Belgium,0-0,,"Ahmad bin Ali Stadium, Al Rayyan",,
42,Thu Dec/1 2022 18:00,Group F,Canada,Morocco,1-2 (1-2),(1-2),"Al Thumama Stadium, Doha",Nayef Aguerd 40'(o.g.),Hakim Zyiech 4'  Youssef En-Nesyri 23'
13,Thu Nov/24 2022 13:00,Group G,Switzerland,Cameroon,1-0 (0-0),(0-0),"Al Janoub Stadium, Al Wakrah",Breel Embolo 48',
16,Thu Nov/24 2022 22:00,Group G,Brazil,Serbia,2-0 (0-0),(0-0),"Lusail Iconic Stadium, Lusail","Richarlison 62', 73'",
29,Mon Nov/28 2022 13:00,Group G,Cameroon,Serbia,3-3 (1-2),(1-2),"Al Janoub Stadium, Al Wakrah",Jean-Charles Castelletto 29'  Vincent Aboubakar 63'  Jean-Eric Choupo-Moting 66',Strahinja Pavlović 45+1'  Sergej Milinković-Savić 45+3'  Aleksandar Mitrović 53'
31,Mon Nov/28 2022 19:00,Group G,Brazil,Switzerland,1-0 (0-0),(0-0),"Stadium 974, Doha",Casemiro 83',
47,Fri Dec/2 2022 22:00,Group G,Serbia,Switzerland,2-3 (2-1),(2-1),"Stadium 974, Doha",Aleksandar Mitrović 26' Dušan Vlahović 35',Xherdan Shaqiri 20' Breel Embolo 44' Freuler 48'
48,Fri Dec/2 2022 22:00,Group G,Cameroon,Brazil,1-0 (0-0),(0-0),"Lusail Iconic Stadium, Lusail",Vincent Aboubakar 90+2',
14,Thu Nov/24 2022 16:00,Group H,Uruguay,South Korea,0-0,,"Education City Stadium, Al Rayyan",,
15,Thu Nov/24 2022 19:00,Group H,Portugal,Ghana,3-2 (0-0),(0-0),"Stadium 974, Doha",Cristiano Ronaldo 65'(pen.) João Félix 78' Rafael Leão 80',André Ayew 73' Osman Bukari 89'
30,Mon Nov/28 2022 16:00,Group H,South Korea,Ghana,2-3 (0-2),(0-2),"Education City Stadium, Al Rayyan","Cho Gue-sung 58', 61'","Mohammed Salisu 24' Mohammed Kudus 34', 68'"
32,Mon Nov/28 2022 22:00,Group H,Portugal,Uruguay,2-0 (0-0),(0-0),"Lusail Iconic Stadium, Lusail","Bruno Fernandes 54', 90+3'(pen.)",
45,Fri Dec/2 2022 18:00,Group H,Ghana,Uruguay,0-2,,"Al Janoub Stadium, Al Wakrah",-,"Giorgian De Arrascaeta 26', 32'"
46,Fri Dec/2 2022 18:00,Group H,South Korea,Portugal,2-1 (1-1),(1-1),"Lusail Iconic Stadium, Lusail",Kim Young-gwon 27' Hwang Hee-chan 90+1',Ricardo Horta 5'
